"Popolazione residente per età e sesso al 1° gennaio 2025 (dati provvisori)"
"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"012001";"Agra";82;3;6;9
"012001";"Agra";83;3;1;4
"012001";"Agra";84;4;1;5
"012001";"Agra";85;1;2;3
"012001";"Agra";86;1;1;2
"012001";"Agra";87;2;0;2
"012001";"Agra";88;0;2;2
"012001";"Agra";89;1;2;3
"012001";"Agra";90;0;1;1
"012001";"Agra";91;0;0;0
"012001";"Agra";92;1;0;1
"012001";"Agra";93;0;1;1
"012001";"Agra";94;0;0;0
"012001";"Agra";95;1;0;1
"012001";"Agra";96;0;0;0
"012001";"Agra";97;0;0;0
"012001";"Agra";98;0;0;0
"012001";"Agra";99;1;0;1
"012001";"Agra";100;0;1;1
"012001";"Agra";999;188;195;383
"012002";"Albizzate";0;23;15;38
"012002";"Albizzate";1;16;16;32
"012002";"Albizzate";2;16;17;33
"012002";"Albizzate";3;24;20;44
"012002";"Albizzate";4;25;14;39
"012002";"Albizzate";5;27;18;45
"012002";"Albizzate";6;23;20;43
"012002";"Albizzate";7;24;31;55
"012002";"Albizzate";8;21;27;48
"012002";"Albizzate";9;22;19;41
"012002";"Albizzate";10;24;21;45
"012002";"Albizzate";11;26;21;47
"012002";"Albizzate";12;22;26;48
"012002";"Albizzate";13;26;24;50
"012002";"Albizzate";14;28;19;47
"012002";"Albizzate";15;30;22;52
"012002";"Albizzate";16;31;15;46
"012002";"Albizzate";17;30;23;53
"012002";"Albizzate";18;22;18;40
"012002";"Albizzate";19;19;28;47
"012002";"Albizzate";20;26;26;52
"012002";"Albizzate";21;16;28;44
"012002";"Albizzate";22;27;18;45
"012002";"Albizzate";23;19;23;42
"012002";"Albizzate";24;19;28;47
"012002";"Albizzate";25;30;20;50
"012002";"Albizzate";26;33;38;71
"012002";"Albizzate";27;22;21;43
"012002";"Albizzate";28;19;27;46
"012002";"Albizzate";29;35;26;61
"012002";"Albizzate";30;26;21;47
"012002";"Albizzate";31;26;24;50
"012002";"Albizzate";32;29;29;58
"012002";"Albizzate";33;26;26;52
"012002";"Albizzate";34;34;30;64
"012002";"Albizzate";35;25;26;51
"012002";"Albizzate";36;30;26;56
"012002";"Albizzate";37;35;29;64
"012002";"Albizzate";38;28;25;53
"012002";"Albizzate";39;32;31;63
"012002";"Albizzate";40;21;28;49
"012002";"Albizzate";41;32;41;73
"012002";"Albizzate";42;32;31;63
"012002";"Albizzate";43;29;28;57
"012002";"Albizzate";44;36;38;74
"012002";"Albizzate";45;30;36;66
"012002";"Albizzate";46;40;26;66
"012002";"Albizzate";47;33;46;79
"012002";"Albizzate";48;27;47;74
"012002";"Albizzate";49;49;33;82
"012002";"Albizzate";50;40;28;68
"012002";"Albizzate";51;43;40;83
"012002";"Albizzate";52;44;37;81
"012002";"Albizzate";53;49;38;87
"012002";"Albizzate";54;41;37;78
"012002";"Albizzate";55;40;39;79
"012002";"Albizzate";56;34;37;71
"012002";"Albizzate";57;35;41;76
"012002";"Albizzate";58;40;31;71
"012002";"Albizzate";59;49;37;86
"012002";"Albizzate";60;50;44;94
"012002";"Albizzate";61;37;43;80
"012002";"Albizzate";62;37;45;82
"012002";"Albizzate";63;27;39;66
"012002";"Albizzate";64;32;47;79
"012002";"Albizzate";65;37;31;68
"012002";"Albizzate";66;17;33;50
"012002";"Albizzate";67;37;34;71
"012002";"Albizzate";68;34;45;79
"012002";"Albizzate";69;28;37;65
"012002";"Albizzate";70;28;31;59
"012002";"Albizzate";71;25;28;53
"012002";"Albizzate";72;37;33;70
"012002";"Albizzate";73;31;29;60
"012002";"Albizzate";74;29;27;56
"012002";"Albizzate";75;24;34;58
"012002";"Albizzate";76;24;33;57
"012002";"Albizzate";77;19;32;51
"012002";"Albizzate";78;19;44;63
"012002";"Albizzate";79;20;24;44
"012002";"Albizzate";80;24;18;42
"012002";"Albizzate";81;16;15;31
"012002";"Albizzate";82;12;23;35
"012002";"Albizzate";83;18;29;47
"012002";"Albizzate";84;12;27;39
"012002";"Albizzate";85;23;25;48
"012002";"Albizzate";86;10;17;27
"012002";"Albizzate";87;20;22;42
"012002";"Albizzate";88;11;18;29
"012002";"Albizzate";89;14;16;30
"012002";"Albizzate";90;7;14;21
"012002";"Albizzate";91;5;8;13
"012002";"Albizzate";92;1;11;12
"012002";"Albizzate";93;3;7;10
"012002";"Albizzate";94;2;4;6
"012002";"Albizzate";95;6;3;9
"012002";"Albizzate";96;0;1;1
"012002";"Albizzate";97;1;2;3
"012002";"Albizzate";98;2;3;5
"012002";"Albizzate";99;1;2;3
"012002";"Albizzate";100;0;3;3
"012002";"Albizzate";999;2540;2636;5176
"012003";"Angera";0;8;10;18
"012003";"Angera";1;8;11;19
"012003";"Angera";2;22;10;32
"012003";"Angera";3;20;21;41
"012003";"Angera";4;13;18;31
"012003";"Angera";5;17;12;29
"012003";"Angera";6;20;23;43
"012003";"Angera";7;13;13;26
"012003";"Angera";8;18;17;35
"012003";"Angera";9;12;20;32
"012003";"Angera";10;24;15;39
"012003";"Angera";11;21;19;40
"012003";"Angera";12;29;18;47
"012003";"Angera";13;17;20;37
"012003";"Angera";14;21;17;38
"012003";"Angera";15;30;28;58
"012003";"Angera";16;19;30;49
"012003";"Angera";17;31;20;51
"012003";"Angera";18;32;38;70
"012003";"Angera";19;22;17;39
"012003";"Angera";20;27;29;56
"012003";"Angera";21;34;29;63
"012003";"Angera";22;25;23;48
"012003";"Angera";23;25;21;46
"012003";"Angera";24;27;22;49
"012003";"Angera";25;19;22;41
"012003";"Angera";26;32;31;63
"012003";"Angera";27;23;25;48
"012003";"Angera";28;18;22;40
"012003";"Angera";29;19;23;42
"012003";"Angera";30;18;34;52
"012003";"Angera";31;22;30;52
"012003";"Angera";32;18;16;34
"012003";"Angera";33;19;21;40
"012003";"Angera";34;35;20;55
"012003";"Angera";35;20;25;45
"012003";"Angera";36;16;29;45
"012003";"Angera";37;19;22;41
"012003";"Angera";38;16;21;37
"012003";"Angera";39;24;19;43
"012003";"Angera";40;18;22;40
"012003";"Angera";41;24;26;50
"012003";"Angera";42;22;28;50
"012003";"Angera";43;34;32;66
"012003";"Angera";44;26;31;57
"012003";"Angera";45;26;29;55
"012003";"Angera";46;28;28;56
"012003";"Angera";47;38;26;64
"012003";"Angera";48;29;31;60
"012003";"Angera";49;44;44;88
"012003";"Angera";50;46;46;92
"012003";"Angera";51;48;46;94
"012003";"Angera";52;33;38;71
"012003";"Angera";53;37;47;84
"012003";"Angera";54;45;53;98
"012003";"Angera";55;62;48;110
"012003";"Angera";56;56;52;108
"012003";"Angera";57;46;57;103
"012003";"Angera";58;39;65;104
"012003";"Angera";59;54;52;106
"012003";"Angera";60;57;55;112
"012003";"Angera";61;40;40;80
"012003";"Angera";62;47;33;80
"012003";"Angera";63;40;44;84
"012003";"Angera";64;29;39;68
"012003";"Angera";65;40;43;83
"012003";"Angera";66;48;42;90
"012003";"Angera";67;30;39;69
"012003";"Angera";68;30;41;71
"012003";"Angera";69;29;38;67
"012003";"Angera";70;35;32;67
"012003";"Angera";71;31;45;76
"012003";"Angera";72;27;33;60
"012003";"Angera";73;28;43;71
"012003";"Angera";74;33;26;59
"012003";"Angera";75;31;33;64
"012003";"Angera";76;45;41;86
"012003";"Angera";77;32;37;69
"012003";"Angera";78;22;44;66
"012003";"Angera";79;21;26;47
"012003";"Angera";80;26;36;62
"012003";"Angera";81;24;32;56
"012003";"Angera";82;16;32;48
"012003";"Angera";83;21;29;50
"012003";"Angera";84;24;36;60
"012003";"Angera";85;21;28;49
"012003";"Angera";86;27;32;59
"012003";"Angera";87;18;28;46
"012003";"Angera";88;8;17;25
"012003";"Angera";89;9;20;29
"012003";"Angera";90;10;10;20
"012003";"Angera";91;10;14;24
"012003";"Angera";92;6;8;14
"012003";"Angera";93;1;11;12
"012003";"Angera";94;2;12;14
"012003";"Angera";95;1;7;8
"012003";"Angera";96;4;7;11
"012003";"Angera";97;2;2;4
"012003";"Angera";98;0;1;1
"012003";"Angera";99;2;3;5
"012003";"Angera";100;0;1;1
"012003";"Angera";999;2535;2802;5337
"012004";"Arcisate";0;34;26;60
"012004";"Arcisate";1;37;36;73
"012004";"Arcisate";2;32;31;63
"012004";"Arcisate";3;36;34;70
"012004";"Arcisate";4;45;40;85
"012004";"Arcisate";5;42;32;74
"012004";"Arcisate";6;45;40;85
"012004";"Arcisate";7;40;45;85
"012004";"Arcisate";8;35;29;64
"012004";"Arcisate";9;51;46;97
"012004";"Arcisate";10;41;55;96
"012004";"Arcisate";11;50;51;101
"012004";"Arcisate";12;53;38;91
"012004";"Arcisate";13;51;52;103
"012004";"Arcisate";14;49;55;104
"012004";"Arcisate";15;51;53;104
"012004";"Arcisate";16;47;53;100
"012004";"Arcisate";17;62;44;106
"012004";"Arcisate";18;45;46;91
"012004";"Arcisate";19;50;53;103
"012004";"Arcisate";20;53;51;104
"012004";"Arcisate";21;51;44;95
"012004";"Arcisate";22;47;57;104
"012004";"Arcisate";23;56;41;97
"012004";"Arcisate";24;44;50;94
"012004";"Arcisate";25;56;40;96
"012004";"Arcisate";26;49;56;105
"012004";"Arcisate";27;41;52;93
"012004";"Arcisate";28;60;39;99
"012004";"Arcisate";29;58;57;115
"012004";"Arcisate";30;55;44;99
"012004";"Arcisate";31;52;45;97
"012004";"Arcisate";32;53;57;110
"012004";"Arcisate";33;53;58;111
"012004";"Arcisate";34;42;54;96
"012004";"Arcisate";35;52;40;92
"012004";"Arcisate";36;47;52;99
"012004";"Arcisate";37;52;57;109
"012004";"Arcisate";38;52;53;105
"012004";"Arcisate";39;50;70;120
"012004";"Arcisate";40;52;51;103
"012004";"Arcisate";41;58;62;120
"012004";"Arcisate";42;52;55;107
"012004";"Arcisate";43;64;47;111
"012004";"Arcisate";44;51;80;131
"012004";"Arcisate";45;65;59;124
"012004";"Arcisate";46;66;72;138
"012004";"Arcisate";47;77;80;157
"012004";"Arcisate";48;72;65;137
"012004";"Arcisate";49;89;76;165
"012004";"Arcisate";50;73;82;155
"012004";"Arcisate";51;89;89;178
"012004";"Arcisate";52;82;69;151
"012004";"Arcisate";53;75;79;154
"012004";"Arcisate";54;69;74;143
"012004";"Arcisate";55;63;79;142
"012004";"Arcisate";56;77;74;151
"012004";"Arcisate";57;86;74;160
"012004";"Arcisate";58;94;82;176
"012004";"Arcisate";59;90;106;196
"012004";"Arcisate";60;77;81;158
"012004";"Arcisate";61;89;76;165
"012004";"Arcisate";62;80;61;141
"012004";"Arcisate";63;66;68;134
"012004";"Arcisate";64;59;65;124
"012004";"Arcisate";65;58;71;129
"012004";"Arcisate";66;66;61;127
"012004";"Arcisate";67;66;68;134
"012004";"Arcisate";68;55;60;115
"012004";"Arcisate";69;55;64;119
"012004";"Arcisate";70;48;79;127
"012004";"Arcisate";71;45;58;103
"012004";"Arcisate";72;67;56;123
"012004";"Arcisate";73;58;57;115
"012004";"Arcisate";74;41;66;107
"012004";"Arcisate";75;43;55;98
"012004";"Arcisate";76;57;59;116
"012004";"Arcisate";77;58;49;107
"012004";"Arcisate";78;52;63;115
"012004";"Arcisate";79;27;49;76
"012004";"Arcisate";80;26;45;71
"012004";"Arcisate";81;29;43;72
"012004";"Arcisate";82;31;41;72
"012004";"Arcisate";83;29;44;73
"012004";"Arcisate";84;22;42;64
"012004";"Arcisate";85;31;44;75
"012004";"Arcisate";86;21;30;51
"012004";"Arcisate";87;27;25;52
"012004";"Arcisate";88;13;22;35
"012004";"Arcisate";89;13;29;42
"012004";"Arcisate";90;9;24;33
"012004";"Arcisate";91;11;8;19
"012004";"Arcisate";92;3;19;22
"012004";"Arcisate";93;1;10;11
"012004";"Arcisate";94;7;6;13
"012004";"Arcisate";95;3;5;8
"012004";"Arcisate";96;2;5;7
"012004";"Arcisate";97;1;4;5
"012004";"Arcisate";98;2;2;4
"012004";"Arcisate";99;0;4;4
"012004";"Arcisate";100;1;2;3
"012004";"Arcisate";999;4812;5051;9863
"012005";"Arsago Seprio";0;12;10;22
"012005";"Arsago Seprio";1;11;8;19
"012005";"Arsago Seprio";2;17;14;31
"012005";"Arsago Seprio";3;11;16;27
"012005";"Arsago Seprio";4;14;16;30
"012005";"Arsago Seprio";5;19;16;35
"012005";"Arsago Seprio";6;18;26;44
"012005";"Arsago Seprio";7;18;23;41
"012005";"Arsago Seprio";8;17;22;39
"012005";"Arsago Seprio";9;28;18;46
"012005";"Arsago Seprio";10;22;16;38
"012005";"Arsago Seprio";11;22;22;44
"012005";"Arsago Seprio";12;15;24;39
"012005";"Arsago Seprio";13;19;24;43
"012005";"Arsago Seprio";14;22;19;41
"012005";"Arsago Seprio";15;28;34;62
"012005";"Arsago Seprio";16;26;26;52
"012005";"Arsago Seprio";17;23;25;48
"012005";"Arsago Seprio";18;31;30;61
"012005";"Arsago Seprio";19;17;23;40
"012005";"Arsago Seprio";20;24;24;48
"012005";"Arsago Seprio";21;30;22;52
"012005";"Arsago Seprio";22;23;33;56
"012005";"Arsago Seprio";23;23;16;39
"012005";"Arsago Seprio";24;24;16;40
"012005";"Arsago Seprio";25;18;19;37
"012005";"Arsago Seprio";26;17;21;38
"012005";"Arsago Seprio";27;26;22;48
"012005";"Arsago Seprio";28;27;17;44
"012005";"Arsago Seprio";29;19;20;39
"012005";"Arsago Seprio";30;21;21;42
"012005";"Arsago Seprio";31;21;13;34
"012005";"Arsago Seprio";32;17;20;37
"012005";"Arsago Seprio";33;26;21;47
"012005";"Arsago Seprio";34;24;20;44
"012005";"Arsago Seprio";35;20;25;45
"012005";"Arsago Seprio";36;28;33;61
"012005";"Arsago Seprio";37;30;22;52
"012005";"Arsago Seprio";38;24;26;50
"012005";"Arsago Seprio";39;31;26;57
"012005";"Arsago Seprio";40;26;31;57
"012005";"Arsago Seprio";41;37;24;61
"012005";"Arsago Seprio";42;32;31;63
"012005";"Arsago Seprio";43;25;38;63
"012005";"Arsago Seprio";44;29;28;57
"012005";"Arsago Seprio";45;29;28;57
"012005";"Arsago Seprio";46;36;35;71
"012005";"Arsago Seprio";47;37;31;68
"012005";"Arsago Seprio";48;39;29;68
"012005";"Arsago Seprio";49;41;46;87
"012005";"Arsago Seprio";50;40;26;66
"012005";"Arsago Seprio";51;44;42;86
"012005";"Arsago Seprio";52;52;41;93
"012005";"Arsago Seprio";53;36;46;82
"012005";"Arsago Seprio";54;34;44;78
"012005";"Arsago Seprio";55;40;42;82
"012005";"Arsago Seprio";56;61;49;110
"012005";"Arsago Seprio";57;43;29;72
"012005";"Arsago Seprio";58;35;38;73
"012005";"Arsago Seprio";59;44;32;76
"012005";"Arsago Seprio";60;41;34;75
"012005";"Arsago Seprio";61;47;41;88
"012005";"Arsago Seprio";62;44;34;78
"012005";"Arsago Seprio";63;35;29;64
"012005";"Arsago Seprio";64;26;29;55
"012005";"Arsago Seprio";65;24;35;59
"012005";"Arsago Seprio";66;26;35;61
"012005";"Arsago Seprio";67;29;44;73
"012005";"Arsago Seprio";68;38;25;63
"012005";"Arsago Seprio";69;28;37;65
"012005";"Arsago Seprio";70;33;34;67
"012005";"Arsago Seprio";71;31;22;53
"012005";"Arsago Seprio";72;30;20;50
"012005";"Arsago Seprio";73;27;22;49
"012005";"Arsago Seprio";74;35;34;69
"012005";"Arsago Seprio";75;20;21;41
"012005";"Arsago Seprio";76;30;28;58
"012005";"Arsago Seprio";77;19;25;44
"012005";"Arsago Seprio";78;22;29;51
"012005";"Arsago Seprio";79;11;27;38
"012005";"Arsago Seprio";80;14;19;33
"012005";"Arsago Seprio";81;15;21;36
"012005";"Arsago Seprio";82;19;21;40
"012005";"Arsago Seprio";83;9;21;30
"012005";"Arsago Seprio";84;14;24;38
"012005";"Arsago Seprio";85;14;15;29
"012005";"Arsago Seprio";86;12;18;30
"012005";"Arsago Seprio";87;10;13;23
"012005";"Arsago Seprio";88;6;11;17
"012005";"Arsago Seprio";89;8;12;20
"012005";"Arsago Seprio";90;5;2;7
"012005";"Arsago Seprio";91;2;9;11
"012005";"Arsago Seprio";92;3;9;12
"012005";"Arsago Seprio";93;2;9;11
"012005";"Arsago Seprio";94;1;3;4
"012005";"Arsago Seprio";95;0;6;6
"012005";"Arsago Seprio";96;0;1;1
"012005";"Arsago Seprio";97;1;2;3
"012005";"Arsago Seprio";98;0;1;1
"012005";"Arsago Seprio";99;0;0;0
"012005";"Arsago Seprio";100;0;0;0
"012005";"Arsago Seprio";999;2354;2381;4735
"012006";"Azzate";0;13;14;27
"012006";"Azzate";1;17;13;30
"012006";"Azzate";2;16;12;28
"012006";"Azzate";3;18;18;36
"012006";"Azzate";4;15;12;27
"012006";"Azzate";5;16;16;32
"012006";"Azzate";6;9;21;30
"012006";"Azzate";7;16;21;37
"012006";"Azzate";8;12;21;33
"012006";"Azzate";9;19;22;41
"012006";"Azzate";10;15;21;36
"012006";"Azzate";11;21;25;46
"012006";"Azzate";12;23;23;46
"012006";"Azzate";13;34;25;59
"012006";"Azzate";14;24;25;49
"012006";"Azzate";15;29;31;60
"012006";"Azzate";16;18;31;49
"012006";"Azzate";17;20;21;41
"012006";"Azzate";18;27;25;52
"012006";"Azzate";19;17;20;37
"012006";"Azzate";20;24;20;44
"012006";"Azzate";21;25;19;44
"012006";"Azzate";22;26;15;41
"012006";"Azzate";23;27;17;44
"012006";"Azzate";24;28;28;56
"012006";"Azzate";25;23;21;44
"012006";"Azzate";26;25;28;53
"012006";"Azzate";27;26;22;48
"012006";"Azzate";28;14;17;31
"012006";"Azzate";29;27;20;47
"012006";"Azzate";30;28;31;59
"012006";"Azzate";31;19;25;44
"012006";"Azzate";32;23;15;38
"012006";"Azzate";33;21;17;38
"012006";"Azzate";34;17;22;39
"012006";"Azzate";35;26;27;53
"012006";"Azzate";36;17;17;34
"012006";"Azzate";37;37;22;59
"012006";"Azzate";38;23;27;50
"012006";"Azzate";39;28;27;55
"012006";"Azzate";40;32;27;59
"012006";"Azzate";41;32;28;60
"012006";"Azzate";42;18;25;43
"012006";"Azzate";43;26;35;61
"012006";"Azzate";44;34;29;63
"012006";"Azzate";45;33;38;71
"012006";"Azzate";46;46;32;78
"012006";"Azzate";47;37;46;83
"012006";"Azzate";48;37;40;77
"012006";"Azzate";49;30;31;61
"012006";"Azzate";50;48;45;93
"012006";"Azzate";51;35;37;72
"012006";"Azzate";52;40;50;90
"012006";"Azzate";53;55;37;92
"012006";"Azzate";54;34;33;67
"012006";"Azzate";55;47;41;88
"012006";"Azzate";56;54;48;102
"012006";"Azzate";57;40;34;74
"012006";"Azzate";58;39;39;78
"012006";"Azzate";59;36;47;83
"012006";"Azzate";60;37;38;75
"012006";"Azzate";61;32;30;62
"012006";"Azzate";62;36;39;75
"012006";"Azzate";63;33;30;63
"012006";"Azzate";64;18;30;48
"012006";"Azzate";65;24;31;55
"012006";"Azzate";66;30;27;57
"012006";"Azzate";67;24;31;55
"012006";"Azzate";68;24;28;52
"012006";"Azzate";69;20;28;48
"012006";"Azzate";70;28;27;55
"012006";"Azzate";71;27;26;53
"012006";"Azzate";72;26;29;55
"012006";"Azzate";73;26;24;50
"012006";"Azzate";74;26;31;57
"012006";"Azzate";75;19;34;53
"012006";"Azzate";76;17;37;54
"012006";"Azzate";77;29;27;56
"012006";"Azzate";78;24;21;45
"012006";"Azzate";79;18;24;42
"012006";"Azzate";80;11;25;36
"012006";"Azzate";81;23;22;45
"012006";"Azzate";82;19;14;33
"012006";"Azzate";83;19;14;33
"012006";"Azzate";84;8;18;26
"012006";"Azzate";85;12;14;26
"012006";"Azzate";86;14;22;36
"012006";"Azzate";87;8;13;21
"012006";"Azzate";88;6;11;17
"012006";"Azzate";89;5;13;18
"012006";"Azzate";90;5;4;9
"012006";"Azzate";91;4;5;9
"012006";"Azzate";92;1;5;6
"012006";"Azzate";93;3;7;10
"012006";"Azzate";94;2;7;9
"012006";"Azzate";95;1;3;4
"012006";"Azzate";96;1;1;2
"012006";"Azzate";97;1;0;1
"012006";"Azzate";98;0;1;1
"012006";"Azzate";99;0;2;2
"012006";"Azzate";100;0;1;1
"012006";"Azzate";999;2277;2390;4667
"012007";"Azzio";0;2;2;4
"012007";"Azzio";1;4;2;6
"012007";"Azzio";2;0;0;0
"012007";"Azzio";3;0;1;1
"012007";"Azzio";4;2;6;8
"012007";"Azzio";5;2;2;4
"012007";"Azzio";6;2;2;4
"012007";"Azzio";7;3;3;6
"012007";"Azzio";8;2;2;4
"012007";"Azzio";9;7;3;10
"012007";"Azzio";10;2;5;7
"012007";"Azzio";11;4;4;8
"012007";"Azzio";12;4;3;7
"012007";"Azzio";13;2;2;4
"012007";"Azzio";14;5;2;7
"012007";"Azzio";15;6;4;10
"012007";"Azzio";16;4;7;11
"012007";"Azzio";17;2;6;8
"012007";"Azzio";18;4;3;7
"012007";"Azzio";19;5;5;10
"012007";"Azzio";20;5;5;10
"012007";"Azzio";21;4;3;7
"012007";"Azzio";22;5;3;8
"012007";"Azzio";23;6;4;10
"012007";"Azzio";24;3;1;4
"012007";"Azzio";25;5;6;11
"012007";"Azzio";26;2;2;4
"012007";"Azzio";27;4;1;5
"012007";"Azzio";28;3;1;4
"012007";"Azzio";29;3;2;5
"012007";"Azzio";30;2;3;5
"012007";"Azzio";31;7;6;13
"012007";"Azzio";32;4;3;7
"012007";"Azzio";33;1;7;8
"012007";"Azzio";34;4;6;10
"012007";"Azzio";35;3;2;5
"012007";"Azzio";36;4;6;10
"012007";"Azzio";37;1;0;1
"012007";"Azzio";38;2;4;6
"012007";"Azzio";39;1;1;2
"012007";"Azzio";40;2;6;8
"012007";"Azzio";41;4;2;6
"012007";"Azzio";42;6;3;9
"012007";"Azzio";43;4;3;7
"012007";"Azzio";44;7;8;15
"012007";"Azzio";45;1;5;6
"012007";"Azzio";46;2;7;9
"012007";"Azzio";47;5;5;10
"012007";"Azzio";48;10;3;13
"012007";"Azzio";49;7;4;11
"012007";"Azzio";50;8;8;16
"012007";"Azzio";51;3;11;14
"012007";"Azzio";52;14;13;27
"012007";"Azzio";53;6;7;13
"012007";"Azzio";54;4;4;8
"012007";"Azzio";55;5;7;12
"012007";"Azzio";56;12;5;17
"012007";"Azzio";57;8;10;18
"012007";"Azzio";58;9;6;15
"012007";"Azzio";59;7;8;15
"012007";"Azzio";60;6;4;10
"012007";"Azzio";61;5;8;13
"012007";"Azzio";62;5;1;6
"012007";"Azzio";63;8;4;12
"012007";"Azzio";64;6;6;12
"012007";"Azzio";65;7;5;12
"012007";"Azzio";66;4;8;12
"012007";"Azzio";67;6;3;9
"012007";"Azzio";68;6;4;10
"012007";"Azzio";69;5;2;7
"012007";"Azzio";70;10;6;16
"012007";"Azzio";71;3;2;5
"012007";"Azzio";72;3;4;7
"012007";"Azzio";73;4;1;5
"012007";"Azzio";74;4;5;9
"012007";"Azzio";75;1;8;9
"012007";"Azzio";76;5;5;10
"012007";"Azzio";77;1;4;5
"012007";"Azzio";78;8;7;15
"012007";"Azzio";79;0;4;4
"012007";"Azzio";80;3;2;5
"012007";"Azzio";81;5;5;10
"012007";"Azzio";82;3;3;6
"012007";"Azzio";83;4;4;8
"012007";"Azzio";84;4;2;6
"012007";"Azzio";85;6;4;10
"012007";"Azzio";86;1;1;2
"012007";"Azzio";87;1;3;4
"012007";"Azzio";88;3;1;4
"012007";"Azzio";89;1;1;2
"012007";"Azzio";90;1;0;1
"012007";"Azzio";91;0;1;1
"012007";"Azzio";92;0;2;2
"012007";"Azzio";93;1;1;2
"012007";"Azzio";94;0;0;0
"012007";"Azzio";95;0;0;0
"012007";"Azzio";96;0;0;0
"012007";"Azzio";97;0;0;0
"012007";"Azzio";98;0;0;0
"012007";"Azzio";99;0;0;0
"012007";"Azzio";100;0;1;1
"012007";"Azzio";999;385;377;762
"012008";"Barasso";0;2;4;6
"012008";"Barasso";1;6;3;9
"012008";"Barasso";2;7;6;13
"012008";"Barasso";3;8;3;11
"012008";"Barasso";4;6;6;12
"012008";"Barasso";5;12;5;17
"012008";"Barasso";6;7;5;12
"012008";"Barasso";7;7;4;11
"012008";"Barasso";8;4;5;9
"012008";"Barasso";9;5;9;14
"012008";"Barasso";10;4;6;10
"012008";"Barasso";11;11;7;18
"012008";"Barasso";12;11;6;17
"012008";"Barasso";13;5;9;14
"012008";"Barasso";14;5;9;14
"012008";"Barasso";15;5;9;14
"012008";"Barasso";16;8;11;19
"012008";"Barasso";17;12;7;19
"012008";"Barasso";18;10;6;16
"012008";"Barasso";19;10;13;23
"012008";"Barasso";20;10;5;15
"012008";"Barasso";21;10;7;17
"012008";"Barasso";22;10;8;18
"012008";"Barasso";23;8;4;12
"012008";"Barasso";24;6;11;17
"012008";"Barasso";25;7;9;16
"012008";"Barasso";26;12;6;18
"012008";"Barasso";27;13;7;20
"012008";"Barasso";28;6;5;11
"012008";"Barasso";29;10;6;16
"012008";"Barasso";30;5;8;13
"012008";"Barasso";31;6;7;13
