Hour,h2_exported
0,0.053
1,0.002
2,0.002
3,0.053
4,0.002
5,0.053
6,0.002
7,0.002
8,0.002
9,0.034
10,0.002
11,0.002
12,0.034
13,0.034
14,0.002
15,0.002
16,0.002
17,0.002
18,0.053
19,0.002
20,0.034
21,0.034
22,0.002
23,0.002
24,0.002
25,0.002
26,0.002
27,0.034
28,0.034
29,0.034
30,0.002
31,0.002
32,0.002
33,0.034
34,0.034
35,0.034
36,0.034
37,0.034
38,0.034
39,0.002
40,0.034
41,0.034
42,0.034
43,0.034
44,0.034
45,0.002
46,0.002
47,0.034
48,0.034
49,0.034
50,0.034
51,0.034
52,0.002
53,0.002
54,0.002
55,0.034
56,0.002
57,0.002
58,0.034
59,0.002
60,0.002
61,0.034
62,0.034
63,0.034
64,0.034
65,0.034
66,0.002
67,0.034
68,0.034
69,0.034
70,0.1
71,0.034
72,0.034
73,0.034
74,0.034
75,0.034
76,0.1
77,0.023
78,0.1
79,0.1
80,0.034
81,0.023
82,0.023
83,0.1
84,0.023
85,0.1
86,0.1
87,0.023
88,0.002
89,0.023
90,0.1
91,0.1
92,0.1
93,0.1
94,0.1
95,0.1
96,0.023
97,0.1
98,0.1
99,0.1
100,0.1
101,0.002
102,0.023
103,0.1
104,0.1
105,0.1
106,0.1
107,0.1
108,0.1
109,0.002
110,0.002
111,0.1
112,0.1
113,0.1
114,0.023
115,0.1
116,0.1
117,0.1
118,0.023
119,0.023
120,0.002
121,0.1
122,0.1
123,0.023
124,0.1
125,0.1
126,0.1
127,0.1
128,0.023
129,0.023
130,0.023
131,0.023
132,0.1
133,0.1
134,0.1
135,0.023
136,0.023
137,0.023
138,0.023
139,0.023
140,0.023
141,0.1
142,0.1
143,0.023
144,0.1
145,0.1
146,0.1
147,0.1
148,0.1
149,0.1
150,0.023
151,0.1
152,0.023
153,0.1
154,0.023
155,0.023
156,0.1
157,0.1
158,0.1
159,0.1
160,0.1
161,0.1
162,0.1
163,0.023
164,0.023
165,0.1
166,0.1
167,0.1
168,0.1
169,0.1
170,0.1
171,0.1
172,0.1
173,0.1
174,0.1
175,0.1
176,0.1
177,0.1
178,0.023
179,0.023
180,0.023
181,0.1
182,0.1
183,0.1
184,0.1
185,0.023
186,0.023
187,0.1
188,0.1
189,0.1
190,0.1
191,0.1
192,0.023
193,0.023
194,0.023
195,0.1
196,0.1
197,0.1
198,0.1
199,0.023
200,0.1
201,0.023
202,0.1
203,0.1
204,0.023
205,0.1
206,0.1
207,0.1
208,0.1
209,0.1
210,0.1
211,0.1
212,0.023
213,0.023
214,0.023
215,0.023
216,0.1
217,0.1
218,0.1
219,0.1
220,0.1
221,0.1
222,0.1
223,0.1
224,0.1
225,0.1
226,0.023
227,0.023
228,0.1
229,0.1
230,0.1
231,0.1
232,0.1
233,0.1
234,0.1
235,0.023
236,0.1
237,0.023
238,0.023
239,0.023
240,0.1
241,0.023
242,0.023
243,0.1
244,0.1
245,0.1
246,0.1
247,0.023
248,0.023
249,0.1
250,0.1
251,0.1
252,0.1
253,0.1
254,0.023
255,0.023
256,0.023
257,0.023
258,0.023
259,0.1
260,0.023
261,0.1
262,0.023
263,0.023
264,0.023
265,0.023
266,0.1
267,0.1
268,0.1
269,0.023
270,0.023
271,0.1
272,0.1
273,0.023
274,0.023
275,0.023
276,0.023
277,0.023
278,0.023
279,0.1
280,0.023
281,0.1
282,0.023
283,0.023
284,0.023
285,0.023
286,0.023
287,0.023
288,0.023
289,0.023
290,0.002
291,0.002
292,0.002
293,0.023
294,0.023
295,0.023
296,0.002
297,0.002
298,0.002
299,0.034
300,0.034
301,0.023
302,0.002
303,0.034
304,0.053
305,0.002
306,0.034
307,0.002
308,0.034
309,0.034
310,0.034
311,0.002
312,0.002
313,0.034
314,0.034
315,0.034
316,0.034
317,0.034
318,0.002
319,0.002
320,0.034
321,0.034
322,0.034
323,0.034
324,0.034
325,0.002
326,0.002
327,0.034
328,0.034
329,0.034
330,0.002
331,0.002
332,0.002
333,0.053
334,0.002
335,0.002
336,0.034
337,0.002
338,0.002
339,0.002
340,0.002
341,0.053
342,0.002
343,0.002
344,0.002
345,0.034
346,0.053
347,0.053
348,0.002
349,0.002
350,0.002
351,0.034
352,0.034
353,0.002
354,0.002
355,0.034
356,0.034
357,0.034
358,0.053
359,0.053
360,0.053
361,0.053
362,0.002
363,0.002
364,0.002
